st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-11-20 00:49:00;2013-11-20 04:21:00;212;0.9;4;1.2;2013-11-20 00:50:00;2013-11-20 03:38:00;168;0.8;5.9;0.6;2013-11-20 00:49:00;2013-11-20 02:39:00;110;1;6.4;1.9;2013-11-20 00:51:00;2013-11-20 03:42:00;171;0.8;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-20 07:03:00;2013-11-20 12:01:00;298;2;4.2;2.1;2013-11-20 07:20:00;2013-11-20 09:42:00;142;1.7;5.9;1.8;2013-11-20 07:09:00;2013-11-20 09:39:00;150;2.3;6.4;2.5;2013-11-20 07:03:00;2013-11-20 09:42:00;159;2;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-29 23:35:00;2013-11-30 03:01:00;206;1.2;6.2;3.1;2013-11-29 23:35:00;2013-11-30 00:31:00;56;1.1;6;3;2013-11-29 23:35:00;2013-11-30 00:32:00;57;1.3;6.4;3.1;2013-11-29 23:37:00;2013-11-30 00:35:00;58;1.2;6.1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-12-05 21:53:00;2013-12-06 02:21:00;268;2.8;12.1;7.9;2013-12-05 21:58:00;2013-12-06 00:42:00;164;3.5;12.5;11.1;2013-12-05 21:53:00;2013-12-06 00:06:00;133;2.4;12.2;9.2;2013-12-05 22:02:00;2013-12-06 00:45:00;163;2.4;12.3;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-12-08 06:19:00;2013-12-08 12:31:00;372;0.4;4;0.6;2013-12-08 07:38:00;2013-12-08 10:23:00;165;0.4;5.9;0.6;2013-12-08 06:35:00;2013-12-08 10:15:00;220;0.5;6.4;1.3;2013-12-08 06:19:00;2013-12-08 10:16:00;237;0.4;6.1;0.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-12-09 04:49:00;2013-12-09 13:01:00;492;1.7;4.2;1.4;2013-12-09 05:12:00;2013-12-09 11:52:00;400;1.8;5.9;1.2;2013-12-09 05:17:00;2013-12-09 11:12:00;355;1.8;6.4;1.9;2013-12-09 05:11:00;2013-12-09 11:00:00;349;1.5;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-04 22:31:00;2014-01-05 03:27:00;296;2.3;4.2;1.8;2014-01-04 22:31:00;2014-01-05 01:25:00;174;2.2;5.9;1.8;2014-01-04 22:33:00;2014-01-05 02:00:00;207;2.6;6.4;1.9;2014-01-04 22:34:00;2014-01-05 01:06:00;152;2.1;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-05 14:50:00;2014-01-05 23:57:00;547;5.2;4.2;1.8;2014-01-05 15:12:00;2014-01-05 21:33:00;381;4.8;5.9;1.8;2014-01-05 14:50:00;2014-01-05 21:15:00;385;6.2;6.4;1.9;2014-01-05 15:06:00;2014-01-05 21:08:00;362;4.7;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-10 02:58:00;2014-01-10 03:13:00;15;0.3;6.2;1.8;2014-01-10 02:58:00;2014-01-10 03:12:00;14;0.7;18.7;3.7;NA;NA;NA;NA;NA;NA;2014-01-10 03:01:00;2014-01-10 03:08:00;7;0.3;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-14 19:57:00;2014-01-15 00:23:00;266;0.8;2.1;0.6;2014-01-14 19:57:00;2014-01-15 00:19:00;262;0.9;5.9;0.6;2014-01-14 20:30:00;2014-01-15 00:23:00;233;0.7;6.4;0.6;2014-01-14 20:12:00;2014-01-15 00:08:00;236;0.8;6.1;0.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
